order_id,date,category,product,sales,quantity
1,2025-01-01,Electronics,Phone,250,1
2,2025-01-02,Clothing,Shirt,40,2
3,2025-01-03,Electronics,Laptop,1200,1
4,2025-01-04,Home,Vacuum,150,1
5,2025-01-05,Clothing,Jeans,60,1
6,2025-01-06,Grocery,Milk,5,2
7,2025-01-07,Electronics,Headphones,80,1
8,2025-01-08,Toys,Board Game,30,1
9,2025-01-09,Home,Blender,120,1
10,2025-01-10,Clothing,Jacket,100,1
11,2025-02-01,Electronics,Tablet,400,1
12,2025-02-05,Grocery,Bread,3,1
13,2025-02-10,Clothing,Socks,10,5
14,2025-02-15,Toys,Action Figure,25,2
15,2025-02-20,Home,Bed Sheet,70,1
16,2025-03-01,Electronics,Camera,650,1
17,2025-03-05,Clothing,Hat,20,1
18,2025-03-10,Grocery,Cheese,8,1
19,2025-03-15,Toys,RC Car,90,1
20,2025-03-20,Home,Coffee Maker,200,1
21,2025-04-01,Electronics,Monitor,220,1
22,2025-04-05,Clothing,Dress,80,1
23,2025-04-10,Home,Toaster,45,1
24,2025-04-15,Grocery,Eggs,4,12
25,2025-04-20,Toys,Puzzle,15,1
